9-ojo Forto gatvė 25A, Kauno miestas, Kauno miesto savivaldybė
A. Smetonos alėja 83, Kauno miestas, Kauno miesto savivaldybė
A. Smetonos alėja 8, Kauno miestas, Kauno miesto savivaldybė
A. Smetonos alėja 65, Kauno miestas, Kauno miesto savivaldybė
A. Smetonos alėja 63, Kauno miestas, Kauno miesto savivaldybė
A. Smetonos alėja 41, Kauno miestas, Kauno miesto savivaldybė
A. Strazdo gatvė 33A, Kauno miestas, Kauno miesto savivaldybė
A. Strazdo gatvė 70A, Kauno miestas, Kauno miesto savivaldybė
A. Strazdo gatvė 75A, Kauno miestas, Kauno miesto savivaldybė
A. Strazdo gatvė 3, Kauno miestas, Kauno miesto savivaldybė
A. Strazdo gatvė 25, Kauno miestas, Kauno miesto savivaldybė
A. Strazdo gatvė 29, Kauno miestas, Kauno miesto savivaldybė
A. Strazdo gatvė 55, Kauno miestas, Kauno miesto savivaldybė
A. Strazdo gatvė 59, Kauno miestas, Kauno miesto savivaldybė
A. Strazdo gatvė 63, Kauno miestas, Kauno miesto savivaldybė
A. Strazdo gatvė 65, Kauno miestas, Kauno miesto savivaldybė
A. Strazdo gatvė 69, Kauno miestas, Kauno miesto savivaldybė
A. Strazdo gatvė 77, Kauno miestas, Kauno miesto savivaldybė
A. Strazdo gatvė 2, Kauno miestas, Kauno miesto savivaldybė
A. Strazdo gatvė 14, Kauno miestas, Kauno miesto savivaldybė
A. Strazdo gatvė 18, Kauno miestas, Kauno miesto savivaldybė
A. Strazdo gatvė 34, Kauno miestas, Kauno miesto savivaldybė
A. Strazdo gatvė 42, Kauno miestas, Kauno miesto savivaldybė
A. Strazdo gatvė 48, Kauno miestas, Kauno miesto savivaldybė
A. Strazdo gatvė 60, Kauno miestas, Kauno miesto savivaldybė
A. Strazdo gatvė 68, Kauno miestas, Kauno miesto savivaldybė
A. Strazdo gatvė 76, Kauno miestas, Kauno miesto savivaldybė
A. Strazdo gatvė 24, Kauno miestas, Kauno miesto savivaldybė
A. Strazdo gatvė 1, Kauno miestas, Kauno miesto savivaldybė
A. Strazdo gatvė 23, Kauno miestas, Kauno miesto savivaldybė
A. Strazdo gatvė 22, Kauno miestas, Kauno miesto savivaldybė
A. Stulginskio gatvė 32A, Kauno miestas, Kauno miesto savivaldybė
A. Stulginskio gatvė 41A, Kauno miestas, Kauno miesto savivaldybė
A. Stulginskio gatvė 41F, Kauno miestas, Kauno miesto savivaldybė
A. Stulginskio gatvė 41G, Kauno miestas, Kauno miesto savivaldybė
A. Stulginskio gatvė 48A, Kauno miestas, Kauno miesto savivaldybė
A. Stulginskio gatvė 49A, Kauno miestas, Kauno miesto savivaldybė
A. Stulginskio gatvė 3, Kauno miestas, Kauno miesto savivaldybė
A. Stulginskio gatvė 41, Kauno miestas, Kauno miesto savivaldybė
A. Stulginskio gatvė 47, Kauno miestas, Kauno miesto savivaldybė
A. Stulginskio gatvė 57, Kauno miestas, Kauno miesto savivaldybė
A. Stulginskio gatvė 61, Kauno miestas, Kauno miesto savivaldybė
A. Stulginskio gatvė 2, Kauno miestas, Kauno miesto savivaldybė
A. Stulginskio gatvė 40, Kauno miestas, Kauno miesto savivaldybė
A. Stulginskio gatvė 46, Kauno miestas, Kauno miesto savivaldybė
A. Stulginskio gatvė 60, Kauno miestas, Kauno miesto savivaldybė
A. Stulginskio gatvė 54, Kauno miestas, Kauno miesto savivaldybė
A. Stulginskio gatvė 1, Kauno miestas, Kauno miesto savivaldybė
A. Stulginskio gatvė 55, Kauno miestas, Kauno miesto savivaldybė
A. Stulginskio gatvė 52, Kauno miestas, Kauno miesto savivaldybė
