id,country,county,municipality,civilparish,city,citygenitive,street
121,LIETUVOS RESPUBLIKA,Kauno apskritis,Kauno rajono savivaldybė,Užliedžių seniūnija,Vijūkai,Vijūkų kaimas,Aluonos gatvė
122,LIETUVOS RESPUBLIKA,Kauno apskritis,Kėdainių rajono savivaldybė,Pernaravos seniūnija,Paaluonys,Paaluonio kaimas,Aluonos gatvė
123,LIETUVOS RESPUBLIKA,Kauno apskritis,Kaišiadorių rajono savivaldybė,Rumšiškių seniūnija,Dovainonys,Dovainonių kaimas,Alytaus gatvė
124,LIETUVOS RESPUBLIKA,Kauno apskritis,Kauno rajono savivaldybė,Alšėnų seniūnija,Mastaičiai,Mastaičių kaimas,Alytaus gatvė
125,LIETUVOS RESPUBLIKA,Kauno apskritis,Kauno rajono savivaldybė,Babtų seniūnija,Babtai,Babtų miestelis,Alytaus gatvė
126,LIETUVOS RESPUBLIKA,Kauno apskritis,Kauno rajono savivaldybė,Neveronių seniūnija,Neveronys,Neveronių kaimas,Alytaus gatvė
127,LIETUVOS RESPUBLIKA,Kauno apskritis,Prienų rajono savivaldybė,Išlaužo seniūnija,Išlaužas,Išlaužo kaimas,Alytaus gatvė
128,LIETUVOS RESPUBLIKA,Kauno apskritis,Kaišiadorių rajono savivaldybė,Žaslių seniūnija,Žasliai,Žaslių miestelis,Alytaus gatvė
129,LIETUVOS RESPUBLIKA,Kauno apskritis,Kėdainių rajono savivaldybė,Krakių seniūnija,Krakės,Krakių miestelis,Alytaus gatvė
130,LIETUVOS RESPUBLIKA,Kauno apskritis,Prienų rajono savivaldybė,Jiezno seniūnija,Verbyliškės,Verbyliškių kaimas,Alytaus gatvė
131,LIETUVOS RESPUBLIKA,Kauno apskritis,Prienų rajono savivaldybė,Balbieriškio seniūnija,Mardosai,Mardosų kaimas,Alytaus plentas
132,LIETUVOS RESPUBLIKA,Kauno apskritis,Jonavos rajono savivaldybė,Dumsių seniūnija,Bulotai,Bulotų kaimas,Alyvų gatvė
133,LIETUVOS RESPUBLIKA,Kauno apskritis,Jonavos rajono savivaldybė,Dumsių seniūnija,Gaižiūnai,Gaižiūnų kaimas,Alyvų gatvė
134,LIETUVOS RESPUBLIKA,Kauno apskritis,Jonavos rajono savivaldybė,Dumsių seniūnija,Gulbiniškiai,Gulbiniškių kaimas,Alyvų gatvė
135,LIETUVOS RESPUBLIKA,Kauno apskritis,Jonavos rajono savivaldybė,Kulvos seniūnija,Mardošiškiai,Mardošiškių kaimas,Alyvų gatvė
136,LIETUVOS RESPUBLIKA,Kauno apskritis,Jonavos rajono savivaldybė,Kulvos seniūnija,Paupė,Paupės kaimas,Alyvų gatvė
137,LIETUVOS RESPUBLIKA,Kauno apskritis,Jonavos rajono savivaldybė,Užusalių seniūnija,Girininkai II,Girininkų II kaimas,Alyvų gatvė
138,LIETUVOS RESPUBLIKA,Kauno apskritis,Jonavos rajono savivaldybė,Užusalių seniūnija,Svilonėliai,Svilonėlių kaimas,Alyvų gatvė
139,LIETUVOS RESPUBLIKA,Kauno apskritis,Jonavos rajono savivaldybė,Žeimių seniūnija,Mimaliai,Mimalių kaimas,Alyvų gatvė
140,LIETUVOS RESPUBLIKA,Kauno apskritis,Kaišiadorių rajono savivaldybė,Kaišiadorių miesto seniūnija,Kaišiadorys,Kaišiadorių miestas,Alyvų gatvė
141,LIETUVOS RESPUBLIKA,Kauno apskritis,Kaišiadorių rajono savivaldybė,Palomenės seniūnija,Beloniškės,Beloniškių kaimas,Alyvų gatvė
142,LIETUVOS RESPUBLIKA,Kauno apskritis,Kaišiadorių rajono savivaldybė,Rumšiškių seniūnija,Karčiupis,Karčiupio kaimas,Alyvų gatvė
143,LIETUVOS RESPUBLIKA,Kauno apskritis,Kaišiadorių rajono savivaldybė,Žiežmarių apylinkės seniūnija,Burbiškės,Burbiškių kaimas,Alyvų gatvė
