Id, Country, County, Municipality, CivilParish, City, City_genitive, Street
122, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Kazlų Rūdos savivaldybė, Kazlų Rūdos seniūnija, Baganskai, Baganskų kaimas
123, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Kazlų Rūdos savivaldybė, Kazlų Rūdos seniūnija, Bagotoji, Bagotosios kaimas
124, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Kazlų Rūdos savivaldybė, Kazlų Rūdos seniūnija, Baltreliškės, Baltreliškių kaimas
125, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Kazlų Rūdos savivaldybė, Kazlų Rūdos seniūnija, Bartininkai, Bartininkų kaimas
126, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Kazlų Rūdos savivaldybė, Kazlų Rūdos seniūnija, Bebruliškė, Bebruliškės kaimas
127, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Kazlų Rūdos savivaldybė, Kazlų Rūdos seniūnija, Berštupis, Berštupio kaimas
128, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Kazlų Rūdos savivaldybė, Kazlų Rūdos seniūnija, Beržiniškė, Beržiniškės kaimas
129, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Kazlų Rūdos savivaldybė, Kazlų Rūdos seniūnija, Beržnavienė, Beržnavienės kaimas
130, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Kazlų Rūdos savivaldybė, Kazlų Rūdos seniūnija, Būdelė, Būdelės kaimas
131, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Kazlų Rūdos savivaldybė, Kazlų Rūdos seniūnija, Būdvietis II, Būdviečio II kaimas
132, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Kazlų Rūdos savivaldybė, Kazlų Rūdos seniūnija, Bundziškės, Bundziškių kaimas
133, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Kazlų Rūdos savivaldybė, Kazlų Rūdos seniūnija, Čečetai, Čečetų kaimas
134, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Kazlų Rūdos savivaldybė, Kazlų Rūdos seniūnija, Dambravina, Dambravinos kaimas
135, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Kazlų Rūdos savivaldybė, Kazlų Rūdos seniūnija, Didžioji Trakiškė, Didžiosios Trakiškės kaimas
136, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Kazlų Rūdos savivaldybė, Kazlų Rūdos seniūnija, Eglinčiškė, Eglinčiškės kaimas
137, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Kazlų Rūdos savivaldybė, Kazlų Rūdos seniūnija, Egliniškis, Egliniškio kaimas
138, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Kazlų Rūdos savivaldybė, Kazlų Rūdos seniūnija, Garankščiai, Garankščių kaimas
139, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Kazlų Rūdos savivaldybė, Plutiškių seniūnija, Būdvietis I, Būdviečio I kaimas
