Id, Country, County, Municipality, CivilParish, City, City_genitive, Street
112, LIETUVOS RESPUBLIKA, Alytaus apskritis, Alytaus rajono savivaldybė, Pivašiūnų seniūnija, Dusmenėliai, Dusmenėlių kaimas
113, LIETUVOS RESPUBLIKA, Alytaus apskritis, Alytaus rajono savivaldybė, Pivašiūnų seniūnija, Gervėnai, Gervėnų kaimas
114, LIETUVOS RESPUBLIKA, Alytaus apskritis, Alytaus rajono savivaldybė, Pivašiūnų seniūnija, Juočiškės, Juočiškių kaimas
115, LIETUVOS RESPUBLIKA, Alytaus apskritis, Alytaus rajono savivaldybė, Pivašiūnų seniūnija, Jurgelionys I, Jurgelionių I kaimas
116, LIETUVOS RESPUBLIKA, Alytaus apskritis, Alytaus rajono savivaldybė, Pivašiūnų seniūnija, Jurgelionys II, Jurgelionių II kaimas
117, LIETUVOS RESPUBLIKA, Alytaus apskritis, Alytaus rajono savivaldybė, Pivašiūnų seniūnija, Kazimieravas, Kazimieravo kaimas
118, LIETUVOS RESPUBLIKA, Alytaus apskritis, Alytaus rajono savivaldybė, Pivašiūnų seniūnija, Kedonys, Kedonių kaimas
119, LIETUVOS RESPUBLIKA, Alytaus apskritis, Alytaus rajono savivaldybė, Pivašiūnų seniūnija, Klydžionys, Klydžionių kaimas
120, LIETUVOS RESPUBLIKA, Alytaus apskritis, Alytaus rajono savivaldybė, Pivašiūnų seniūnija, Krūmijos, Krūmijų kaimas
121, LIETUVOS RESPUBLIKA, Alytaus apskritis, Alytaus rajono savivaldybė, Pivašiūnų seniūnija, Lačionys, Lačionių kaimas
122, LIETUVOS RESPUBLIKA, Alytaus apskritis, Alytaus rajono savivaldybė, Pivašiūnų seniūnija, Leoniškės, Leoniškių kaimas
123, LIETUVOS RESPUBLIKA, Alytaus apskritis, Alytaus rajono savivaldybė, Pivašiūnų seniūnija, Liesionys, Liesionių kaimas
124, LIETUVOS RESPUBLIKA, Alytaus apskritis, Alytaus rajono savivaldybė, Pivašiūnų seniūnija, Mikalavas, Mikalavo kaimas
125, LIETUVOS RESPUBLIKA, Alytaus apskritis, Alytaus rajono savivaldybė, Pivašiūnų seniūnija, Miknolesai, Miknolesų kaimas
126, LIETUVOS RESPUBLIKA, Alytaus apskritis, Alytaus rajono savivaldybė, Punios seniūnija, Adamonys, Adamonių kaimas
127, LIETUVOS RESPUBLIKA, Alytaus apskritis, Alytaus rajono savivaldybė, Punios seniūnija, Aleksandrava, Aleksandravos kaimas
128, LIETUVOS RESPUBLIKA, Alytaus apskritis, Alytaus rajono savivaldybė, Punios seniūnija, Ardiškės, Ardiškių kaimas
129, LIETUVOS RESPUBLIKA, Alytaus apskritis, Alytaus rajono savivaldybė, Punios seniūnija, Gajauciškis, Gajauciškio kaimas
130, LIETUVOS RESPUBLIKA, Alytaus apskritis, Alytaus rajono savivaldybė, Punios seniūnija, Gemaitiškės, Gemaitiškių kaimas
131, LIETUVOS RESPUBLIKA, Alytaus apskritis, Alytaus rajono savivaldybė, Punios seniūnija, Gerkiškės, Gerkiškių kaimas
132, LIETUVOS RESPUBLIKA, Alytaus apskritis, Alytaus rajono savivaldybė, Punios seniūnija, Karvelninkai, Karvelninkų kaimas
133, LIETUVOS RESPUBLIKA, Alytaus apskritis, Alytaus rajono savivaldybė, Punios seniūnija, Kaspariškės, Kaspariškių kaimas
134, LIETUVOS RESPUBLIKA, Alytaus apskritis, Alytaus rajono savivaldybė, Punios seniūnija, Kerai, Kerų kaimas
135, LIETUVOS RESPUBLIKA, Alytaus apskritis, Alytaus rajono savivaldybė, Punios seniūnija, Kružiūnai, Kružiūnų kaimas
136, LIETUVOS RESPUBLIKA, Alytaus apskritis, Alytaus rajono savivaldybė, Punios seniūnija, Kulabiškės, Kulabiškių kaimas
137, LIETUVOS RESPUBLIKA, Alytaus apskritis, Alytaus rajono savivaldybė, Punios seniūnija, Mišiškės, Mišiškių kaimas
138, LIETUVOS RESPUBLIKA, Alytaus apskritis, Alytaus rajono savivaldybė, Punios seniūnija, Navasiolkai, Navasiolkų kaimas
139, LIETUVOS RESPUBLIKA, Alytaus apskritis, Alytaus rajono savivaldybė, Punios seniūnija, Norgeliškės, Norgeliškių kaimas
140, LIETUVOS RESPUBLIKA, Alytaus apskritis, Alytaus rajono savivaldybė, Punios seniūnija, Padvariškiai, Padvariškių kaimas
141, LIETUVOS RESPUBLIKA, Alytaus apskritis, Alytaus rajono savivaldybė, Punios seniūnija, Peckūnai, Peckūnų kaimas
142, LIETUVOS RESPUBLIKA, Alytaus apskritis, Alytaus rajono savivaldybė, Punios seniūnija, Pievagaliai, Pievagalių kaimas
143, LIETUVOS RESPUBLIKA, Alytaus apskritis, Alytaus rajono savivaldybė, Punios seniūnija, Raganiškės, Raganiškių kaimas
144, LIETUVOS RESPUBLIKA, Alytaus apskritis, Alytaus rajono savivaldybė, Punios seniūnija, Raižava, Raižavos kaimas
145, LIETUVOS RESPUBLIKA, Alytaus apskritis, Alytaus rajono savivaldybė, Raitininkų seniūnija, Bugonys, Bugonių kaimas
146, LIETUVOS RESPUBLIKA, Alytaus apskritis, Alytaus rajono savivaldybė, Raitininkų seniūnija, Druskininkai, Druskininkų kaimas
147, LIETUVOS RESPUBLIKA, Alytaus apskritis, Alytaus rajono savivaldybė, Raitininkų seniūnija, Ežerynas, Ežeryno kaimas
148, LIETUVOS RESPUBLIKA, Alytaus apskritis, Alytaus rajono savivaldybė, Raitininkų seniūnija, Galintanka, Galintankos kaimas
149, LIETUVOS RESPUBLIKA, Alytaus apskritis, Alytaus rajono savivaldybė, Raitininkų seniūnija, Jaujakaimis, Jaujakaimio kaimas
150, LIETUVOS RESPUBLIKA, Alytaus apskritis, Alytaus rajono savivaldybė, Raitininkų seniūnija, Jociūnai, Jociūnų kaimas
151, LIETUVOS RESPUBLIKA, Alytaus apskritis, Alytaus rajono savivaldybė, Raitininkų seniūnija, Kampai, Kampų kaimas
152, LIETUVOS RESPUBLIKA, Alytaus apskritis, Alytaus rajono savivaldybė, Raitininkų seniūnija, Klepočiai, Klepočių kaimas
153, LIETUVOS RESPUBLIKA, Alytaus apskritis, Alytaus rajono savivaldybė, Raitininkų seniūnija, Lydekininkai, Lydekininkų kaimas
154, LIETUVOS RESPUBLIKA, Alytaus apskritis, Alytaus rajono savivaldybė, Raitininkų seniūnija, Lizdai, Lizdų kaimas
155, LIETUVOS RESPUBLIKA, Alytaus apskritis, Alytaus rajono savivaldybė, Raitininkų seniūnija, Meškasalis, Meškasalio kaimas
156, LIETUVOS RESPUBLIKA, Alytaus apskritis, Alytaus rajono savivaldybė, Raitininkų seniūnija, Miežionys, Miežionių kaimas
157, LIETUVOS RESPUBLIKA, Alytaus apskritis, Alytaus rajono savivaldybė, Raitininkų seniūnija, Netiesos, Netiesų kaimas
158, LIETUVOS RESPUBLIKA, Alytaus apskritis, Alytaus rajono savivaldybė, Raitininkų seniūnija, Noškūnai, Noškūnų kaimas
159, LIETUVOS RESPUBLIKA, Alytaus apskritis, Alytaus rajono savivaldybė, Raitininkų seniūnija, Pieriškiai, Pieriškių kaimas
160, LIETUVOS RESPUBLIKA, Alytaus apskritis, Alytaus rajono savivaldybė, Raitininkų seniūnija, Piliakalnis, Piliakalnio kaimas
161, LIETUVOS RESPUBLIKA, Alytaus apskritis, Alytaus rajono savivaldybė, Raitininkų seniūnija, Raitininkai, Raitininkų kaimas
162, LIETUVOS RESPUBLIKA, Alytaus apskritis, Alytaus rajono savivaldybė, Raitininkų seniūnija, Savilionys, Savilionių kaimas
163, LIETUVOS RESPUBLIKA, Alytaus apskritis, Alytaus rajono savivaldybė, Raitininkų seniūnija, Taručionys, Taručionių kaimas
164, LIETUVOS RESPUBLIKA, Alytaus apskritis, Alytaus rajono savivaldybė, Raitininkų seniūnija, Valėniškės, Valėniškių kaimas
165, LIETUVOS RESPUBLIKA, Alytaus apskritis, Alytaus rajono savivaldybė, Raitininkų seniūnija, Veismūnai, Veismūnų kaimas
166, LIETUVOS RESPUBLIKA, Alytaus apskritis, Alytaus rajono savivaldybė, Simno seniūnija, Angininkai, Angininkų kaimas
