id,country,county,municipality,civilparish,city,citygenitive,street
150,LIETUVOS RESPUBLIKA,Šiaulių apskritis,Kelmės rajono savivaldybė,Pakražančio seniūnija,Antkapinis,Antkapinio kaimas,
151,LIETUVOS RESPUBLIKA,Šiaulių apskritis,Kelmės rajono savivaldybė,Kelmės apylinkių seniūnija,Apelkis,Apelkio viensėdis,
152,LIETUVOS RESPUBLIKA,Šiaulių apskritis,Kelmės rajono savivaldybė,Kukečių seniūnija,Apidėmė,Apidėmės kaimas,
153,LIETUVOS RESPUBLIKA,Šiaulių apskritis,Radviliškio rajono savivaldybė,Radviliškio miesto seniūnija,Radviliškis,Radviliškio miestas,Apuoko gatvė
154,LIETUVOS RESPUBLIKA,Šiaulių apskritis,Akmenės rajono savivaldybė,Kruopių seniūnija,Apušrotas,Apušroto kaimas,
155,LIETUVOS RESPUBLIKA,Šiaulių apskritis,Radviliškio rajono savivaldybė,Šiaulėnų seniūnija,Apušrotas,Apušroto kaimas,
156,LIETUVOS RESPUBLIKA,Šiaulių apskritis,Šiaulių rajono savivaldybė,Gruzdžių seniūnija,Apušėliai,Apušėlių kaimas,
157,LIETUVOS RESPUBLIKA,Šiaulių apskritis,Šiaulių rajono savivaldybė,Kužių seniūnija,Apšrujai,Apšrujų kaimas,
158,LIETUVOS RESPUBLIKA,Šiaulių apskritis,Radviliškio rajono savivaldybė,Šiaulėnų seniūnija,Ardaičiai,Ardaičių kaimas,
159,LIETUVOS RESPUBLIKA,Šiaulių apskritis,Radviliškio rajono savivaldybė,Pakalniškių seniūnija,Areiniškiai,Areiniškių viensėdis,
160,LIETUVOS RESPUBLIKA,Šiaulių apskritis,Radviliškio rajono savivaldybė,Šeduvos miesto seniūnija,Pavartyčiai,Pavartyčių kaimas,Arimaičių gatvė
161,LIETUVOS RESPUBLIKA,Šiaulių apskritis,Akmenės rajono savivaldybė,Papilės seniūnija,Armoliškės,Armoliškių kaimas,
162,LIETUVOS RESPUBLIKA,Šiaulių apskritis,Pakruojo rajono savivaldybė,Lygumų seniūnija,Armonaičiai,Armonaičių kaimas,
163,LIETUVOS RESPUBLIKA,Šiaulių apskritis,Šiaulių rajono savivaldybė,Bubių seniūnija,Gervėnai,Gervėnų kaimas,Aronijos gatvė
