Id, Country, County, Municipality, CivilParish, City, City_genitive, Street
102, LIETUVOS RESPUBLIKA, Kauno apskritis, Jonavos rajono savivaldybė, Šilų seniūnija, Butkūnai, Butkūnų kaimas
103, LIETUVOS RESPUBLIKA, Kauno apskritis, Jonavos rajono savivaldybė, Šilų seniūnija, Gedgaudai, Gedgaudų kaimas
104, LIETUVOS RESPUBLIKA, Kauno apskritis, Jonavos rajono savivaldybė, Šilų seniūnija, Gegutė, Gegutės kaimas
105, LIETUVOS RESPUBLIKA, Kauno apskritis, Jonavos rajono savivaldybė, Šilų seniūnija, Gudoniai, Gudonių kaimas
106, LIETUVOS RESPUBLIKA, Kauno apskritis, Jonavos rajono savivaldybė, Šilų seniūnija, Gudžioniai, Gudžionių kaimas
107, LIETUVOS RESPUBLIKA, Kauno apskritis, Jonavos rajono savivaldybė, Šilų seniūnija, Ilgabradai, Ilgabradų kaimas
108, LIETUVOS RESPUBLIKA, Kauno apskritis, Jonavos rajono savivaldybė, Šilų seniūnija, Jadvygava, Jadvygavos kaimas
109, LIETUVOS RESPUBLIKA, Kauno apskritis, Jonavos rajono savivaldybė, Šilų seniūnija, Jasudai, Jasudų kaimas
110, LIETUVOS RESPUBLIKA, Kauno apskritis, Jonavos rajono savivaldybė, Šilų seniūnija, Jaugeliškiai, Jaugeliškių kaimas
111, LIETUVOS RESPUBLIKA, Kauno apskritis, Jonavos rajono savivaldybė, Šilų seniūnija, Kaušanka, Kaušankos kaimas
112, LIETUVOS RESPUBLIKA, Kauno apskritis, Jonavos rajono savivaldybė, Šilų seniūnija, Konceptas, Koncepto kaimas
113, LIETUVOS RESPUBLIKA, Kauno apskritis, Jonavos rajono savivaldybė, Šilų seniūnija, Konciapolis, Konciapolio kaimas
114, LIETUVOS RESPUBLIKA, Kauno apskritis, Jonavos rajono savivaldybė, Šilų seniūnija, Kulšiškiai, Kulšiškių kaimas
115, LIETUVOS RESPUBLIKA, Kauno apskritis, Jonavos rajono savivaldybė, Šilų seniūnija, Laukagaliai, Laukagalių kaimas
116, LIETUVOS RESPUBLIKA, Kauno apskritis, Jonavos rajono savivaldybė, Šilų seniūnija, Liepos, Liepų kaimas
117, LIETUVOS RESPUBLIKA, Kauno apskritis, Jonavos rajono savivaldybė, Šilų seniūnija, Linksmavietė, Linksmavietės kaimas
118, LIETUVOS RESPUBLIKA, Kauno apskritis, Jonavos rajono savivaldybė, Šilų seniūnija, Lokėnėliai, Lokėnėlių kaimas
119, LIETUVOS RESPUBLIKA, Kauno apskritis, Jonavos rajono savivaldybė, Šilų seniūnija, Lokys, Lokio kaimas
120, LIETUVOS RESPUBLIKA, Kauno apskritis, Jonavos rajono savivaldybė, Šilų seniūnija, Lukšiai, Lukšių kaimas
121, LIETUVOS RESPUBLIKA, Kauno apskritis, Jonavos rajono savivaldybė, Upninkų seniūnija, Alekniškis, Alekniškio kaimas
122, LIETUVOS RESPUBLIKA, Kauno apskritis, Jonavos rajono savivaldybė, Upninkų seniūnija, Apeikiškiai, Apeikiškių kaimas
